"","Country","Goal 1","Goal 2","Goal 3","Goal 4","Goal 5","Goal 6","Goal 7","Goal 8","Goal 9","Goal 10","Goal 11","Goal 12","Goal 13","Goal 14","Goal 15","Goal 16","Goal 17"
"65","Guatemala",0.00536039594383272,0.00555385384255751,0.00221670508955489,0.00240210224249948,0.00280513953150946,0.00424801302616518,0.00163633139338052,0.00239404149671928,0.00273259281948766,0.00212803688597269,0.00468329329829596,0.00282932176885005,0.00371600380467201,0.00137032678263393,0.00234567702203808,0.00601331635202889,0.00221670508955489
"66","Guinea",0.00346003154734646,0.00585152394036534,0.000508828168727421,0.000610593802472905,0.000559710985600163,0.00117030478807307,0.000610593802472905,0.001577367323055,0.000610593802472905,0.000763242253091131,0.000966773520582099,0.000457945351854679,0.00188266422429146,0.000457945351854679,0.000356179718109195,0.00519004732101969,0.00244237520989162
"67","Guinea-Bissau",0.00165419456478929,0,0,0,0,7.87711697518708e-05,0.000551398188263096,7.87711697518708e-05,0.000157542339503742,0.000393855848759354,0.000157542339503742,7.87711697518708e-05,0,7.87711697518708e-05,0,0.000472627018511225,0
"68","Guyana",0.00245818884157851,0.0034019577718274,0.00208507089241034,0.00355559457442606,0.00169000482858522,0.00634300513585883,0.0067600193143409,0.004477415390018,0.00575040604012115,0.00136078310873096,0.00252403318554936,0.00346780211579825,0.0107984724112199,0.00370923137702471,0.0141565339537334,0.00305078793731618,0.0044335191607041
"69","Honduras",0.00610237633713834,0.00258453586043506,0.0038768037906526,0.00527676071505492,0.00441524876157657,0.00150764591858712,0.00276401751740972,0.0037691147964678,0.00534855337784478,0.00373321846507287,0.00423576710460191,0.0037691147964678,0.0018307129011415,0.00262043219182999,0.00247684686625027,0.00814846722664944,0.00222557254648575
"70","Hungary",0.0082008006058639,0.0014930217461863,0.00521475711349129,0.00471708319809586,0.00151465974250784,0.00382992534891269,0.0026614735475495,0.00670777885967759,0.0048469111760251,0.00476035919073894,0.00434923726062967,0.0091095964513686,0.00443578924591583,0.000735691874932381,0.00389483933787731,0.00670777885967759,0.00458725522016661
"71","Iceland",0.00245579567779961,0.00317616240995416,0.00114603798297315,0.00124426981008513,0.000425671250818599,0.00507531106745252,0.00808775376555337,0.00261951538965291,0.004158480681074,0.00117878192534381,0.00576293385723641,0.00854616895874263,0.00419122462344466,0.00798952193844139,0.00982318271119843,0.00297969875573019,0.0027177472167649
"72","India",0.00338770388958595,0.00231637872792202,0.00221503715857543,0.0018337998262716,0.00117749252002702,0.0078177782067368,0.00526493581700608,0.00441559695010134,0.00731107036000386,0.00248045555448316,0.00304989865843065,0.00253836502268121,0.00377859279992279,0.00155872985233086,0.00446868062928289,0.00332496863237139,0.0036772512305762
"73","Indonesia",0.00434412265758092,0.00487953273302507,0.00337064979313702,0.00479435385738623,0.00271355560963738,0.00893161353127282,0.0050620588951083,0.00687515210513507,0.0101362862010221,0.00490386955463616,0.00450231199805305,0.00580433195424678,0.00433195424677537,0.006607447067413,0.00395473351180336,0.00625456315405208,0.00487953273302507
"74","Iran, Islamic Rep.",0.00129327707931393,0.00233213899548413,0.00146288718807641,0.000826849280217101,0.00235334025907944,0.00152649097886234,0.00286217058536689,0.00175970487841075,0.00182330866919668,0.00218373015031696,0.00334979964805902,0.00125087455212331,0.00118727076133738,0.000296817690334344,0.000699641698645239,0.00252295036784192,0.000911654334598342
